,Unnamed: 0,Unnamed: 0.1,batch_size,end_epsilon,gamma,index,lr,max_capacity,other_scores,radius,score,start_epsilon,train_on_terminal_states
0,0.0,0.0,56,0.02,0.6000000000000001,0,0.15000000000000002,7000,[0.286  0.2396],6,-0.3744,0.35100000000000003,0
1,1.0,1.0,32,0.02,0.2,1,0.0,9000,[0.232 0.218],5,-0.08280000000000001,0.30100000000000005,0
2,2.0,2.0,56,0.06,0.6000000000000001,2,0.0,7000,[0.2014 0.2074],2,-0.0192,0.451,0
3,3.0,3.0,56,0.05,0.7000000000000001,3,0.0,6000,[0.2034 0.166 ],2,-0.0126,0.101,0
4,4.0,4.0,32,0.03,0.0,4,0.05,6000,[0.2478 0.248 ],6,-0.4194,0.15100000000000002,0
5,5.0,5.0,16,0.09,0.1,5,0.1,8000,[0.2912 0.2736],6,-0.4782,0.001,1
6,6.0,6.0,32,0.06,0.2,6,0.05,8000,[0.2536 0.2268],2,-0.28540000000000004,0.201,0
7,7.0,7.0,56,0.05,0.8,7,0.0,6000,[0.1896 0.1934],2,-0.07239999999999999,0.051,1
8,8.0,8.0,32,0.02,0.1,8,0.15000000000000002,5000,[0.2402 0.2368],2,-0.33299999999999996,0.001,1
9,9.0,9.0,48,0.09,0.9,9,0.1,8000,[0.275  0.2446],3,-0.34,0.251,1
10,10.0,,48,0.04,0.21,10,0.06000000000000001,2000,[0.2418 0.2342],2,-0.2156,0.15100000000000002,0
11,11.0,,32,0.03,0.6100000000000001,11,0.06000000000000001,3000,[0.259  0.2386],6,-0.3868,0.35100000000000003,1
12,12.0,,56,0.09,0.51,12,0.01,1000,[0.2422 0.2266],5,-0.2504,0.001,0
13,13.0,,48,0.03,0.6100000000000001,13,0.16000000000000006,4000,[0.2442 0.2328],2,-0.4338,0.251,1
14,14.0,,24,0.0,0.81,14,0.16000000000000006,2000,[0.2414 0.2718],4,-0.4978000000000001,0.10099999999999999,1
15,15.0,,16,0.04,0.21,15,0.01,2000,[0.2116 0.2342],5,-0.2194,0.451,1
16,16.0,,16,0.06,0.21,16,0.16000000000000006,4000,[0.2512 0.2312],2,-0.3114,0.30100000000000005,1
17,17.0,,32,0.07,0.91,17,0.06000000000000001,4000,[0.2632 0.2208],2,-0.258,0.10099999999999999,0
18,18.0,,16,0.06,0.11,18,0.01,2000,[0.17   0.2154],6,-0.3116,0.10099999999999999,1
19,19.0,,48,0.09,0.81,19,0.16000000000000006,3000,[0.2666 0.265 ],6,-0.4606,0.201,0
20,20.0,,56,0.06,0.7100000000000001,20,0.11,1000,[0.2586 0.2794],5,-0.5022,0.15100000000000002,1
21,21.0,,40,0.05,0.11,21,0.11,3000,[0.2688 0.2468],3,-0.3664,0.15100000000000002,0
22,22.0,,16,0.04,0.6100000000000001,22,0.01,2000,[0.213 0.246],3,-0.20460000000000006,0.051,1
23,23.0,,48,0.09,0.6100000000000001,23,0.11,1000,[0.2694 0.286 ],6,-0.4014,0.201,0
24,24.0,,16,0.02,0.51,24,0.16000000000000006,3000,[0.2702 0.2396],3,-0.3942,0.35100000000000003,1
25,25.0,,24,0.05,0.41,25,0.11,3000,[0.26   0.1848],3,-0.3508,0.401,1
26,26.0,,32,0.09,0.41,26,0.06000000000000001,4000,[0.248  0.2414],6,-0.364,0.30100000000000005,1
27,27.0,,48,0.05,0.41,27,0.11,2000,[0.2792 0.2644],3,-0.3876,0.15100000000000002,1
28,28.0,,56,0.08,0.01,28,0.11,4000,[0.2132 0.2774],3,-0.3792,0.15100000000000002,1
29,29.0,,48,0.0,0.41,29,0.16000000000000006,1000,[0.255  0.2556],6,-0.4292,0.15100000000000002,1
30,30.0,,32,0.06,0.11,30,0.11,3000,[0.234  0.2844],2,-0.34740000000000004,0.201,0
31,31.0,,24,0.08,0.51,31,0.16000000000000006,3000,[0.2472 0.2304],2,-0.3518,0.451,1
32,32.0,,40,0.08,0.31000000000000005,32,0.01,1000,[0.219  0.2242],4,-0.1858,0.10099999999999999,1
33,33.0,,32,0.09,0.11,33,0.11,2000,[0.2308 0.232 ],5,-0.41700000000000004,0.251,0
34,34.0,,48,0.09,0.6100000000000001,34,0.11,4000,[0.264  0.2604],3,-0.3222,0.451,1
35,35.0,,56,0.04,0.11,35,0.06000000000000001,4000,[0.2314 0.2672],3,-0.32080000000000003,0.35100000000000003,1
36,36.0,,48,0.07,0.6100000000000001,36,0.16000000000000006,3000,[0.2406 0.2452],4,-0.3774,0.30100000000000005,0
37,37.0,,48,0.03,0.81,37,0.01,3000,[0.2006 0.2202],4,-0.17339999999999994,0.201,1
38,38.0,,32,0.02,0.41,38,0.06000000000000001,1000,[0.253  0.2548],6,-0.4753999999999999,0.15100000000000002,0
39,39.0,,56,0.05,0.7100000000000001,39,0.01,2000,[0.2532 0.2634],4,-0.31260000000000004,0.451,1
40,40.0,,48,0.06,0.7100000000000001,40,0.16000000000000006,1000,[0.26   0.2196],4,-0.3738,0.451,1
41,41.0,,56,0.01,0.7100000000000001,41,0.11,1000,[0.2436 0.2432],5,-0.4424,0.451,0
42,42.0,,24,0.0,0.11,42,0.06000000000000001,4000,[0.2436 0.2516],2,-0.3332,0.451,1
43,43.0,,32,0.01,0.01,43,0.01,3000,[0.2512 0.2386],6,-0.2526,0.201,0
44,44.0,,24,0.08,0.41,44,0.11,4000,[0.2464 0.2786],3,-0.3552,0.051,1
45,45.0,,40,0.02,0.81,45,0.01,3000,[0.2206 0.217 ],2,-0.15980000000000005,0.15100000000000002,1
46,46.0,,40,0.06,0.31000000000000005,46,0.16000000000000006,2000,[0.2782 0.235 ],3,-0.3812,0.251,1
47,47.0,,24,0.02,0.11,47,0.01,2000,[0.2878 0.2204],4,-0.2536,0.451,1
48,48.0,,16,0.05,0.01,48,0.01,1000,[0.1922 0.1874],2,-0.1094,0.35100000000000003,0
49,49.0,,32,0.04,0.11,49,0.01,2000,[0.2284 0.2576],6,-0.3064,0.401,0
50,50.0,,32,0.0,0.31000000000000005,50,0.06000000000000001,3000,[0.3006 0.2638],3,-0.3114,0.451,0
51,51.0,,56,0.02,0.91,51,0.01,3000,[0.2136 0.2048],2,-0.1602,0.401,1
52,52.0,,24,0.05,0.21,52,0.11,1000,[0.2444 0.2192],2,-0.3104,0.30100000000000005,1
53,53.0,,48,0.06,0.31000000000000005,53,0.06000000000000001,2000,[0.2542 0.2804],6,-0.4752,0.001,0
54,54.0,,40,0.07,0.7100000000000001,54,0.06000000000000001,3000,[0.2846 0.2144],3,-0.3628,0.051,1
55,55.0,,40,0.07,0.51,55,0.16000000000000006,3000,[0.2572 0.2408],3,-0.4366,0.001,0
